FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
10,304605.5927557457,408331.2068910613,225772.28224312622,147435.9659184958,372395.30153146747,452377.178144689,417953.8483020897,107737.19316226343,85505.94828771631,304981.4180793354,0.0,179679.72825913722,148259.27290842865,77320.45415116088,215582.03886774596,171004.027817704,72604.99295663476,96505.01725574365,291075.6104066547,302511.10751993,143602.189676442,156163.08698978036,151087.73261870004
11,467763.1435269763,578103.0409725036,321535.9990642695,212014.35699291533,550299.0308831343,628557.036877434,596465.9854184292,123988.79650977171,232581.94387819042,483849.2798206693,179679.72825913722,0.0,303962.3473840059,256028.35158841914,388817.14548431686,349463.2880915547,249498.28273496323,84689.07609529149,130761.6207803625,423476.8536966799,317725.79956659983,335291.57809220755,330490.6180884725
12,163809.93647837895,275673.1410525591,125558.29728535892,137791.26001218497,263892.734404199,333988.66759568226,311480.23111633613,187977.63263314444,71532.946606685,207800.14229292795,148259.2729084288,303962.347384006,0.0,93943.0475300785,99151.79967662168,146012.15906016552,132383.19677010545,232461.77282473008,428430.8076068355,163816.3633728297,58092.968133763774,98679.80883821419,124170.38498945755
13,233582.8250763183,333092.1994160855,205086.32385446198,165257.9970496393,295091.533774728,375145.801486842,340768.5356135152,165867.36695824878,70451.59547894174,227913.58457397402,77320.45415116083,256028.3515884191,93943.04753007849,0.0,140057.66963090395,102178.91834523766,38706.57571837607,173724.61392508555,368020.3466714441,257738.63595632373,69049.70816574682,79270.10167582144,79369.59489331159
14,100171.35279037473,193048.738664306,203355.34696998747,236913.05126733505,165939.10170249396,240225.87720113443,213461.3816314632,280899.4917045792,161176.59353637602,108915.03873471063,215582.038867746,388817.14548431686,99151.7996766217,140057.66963090395,0.0,110007.54512105748,166257.9434156763,310138.86750022887,506415.81198185135,189330.66647164742,72003.7336513214,74793.22116330852,102513.97509745388
15,207323.62736480587,279488.29328448017,271534.40018628386,260267.03845066135,218557.7376997582,302322.39922099654,259813.59958627707,267867.80703063717,165010.3500244839,149022.5764487773,171004.02781770402,349463.2880915547,146012.1590601655,102178.91834523756,110007.54512105728,0.0,100035.37060884721,264953.9659311286,450364.45584541943,288752.4170036238,88050.68785158562,48235.130780388936,24131.446640018064
16,263782.5914542217,357417.9018817949,242479.75487910837,193099.5299114506,310635.03149396187,392858.2427937295,354559.90356663783,176640.2593372401,102823.10512406926,241622.29943048544,72604.99295663476,249498.28273496323,132383.19677010548,38706.575718376,166257.94341567616,100035.37060884724,0.0,164933.37691334632,352365.14909463015,296192.0943308291,99887.15663097396,95800.21774537876,82606.15975595108
17,394643.98195119656,501825.0465616728,275903.70930333994,172057.43381452738,468804.28646334476,548381.0463960003,514449.85731692903,86113.9687669546,161596.51686119006,401486.3704338418,96505.0172557437,84689.0760952915,232461.77282472985,173724.6139250855,310138.86750022887,264953.9659311286,164933.3769133463,0.0,196875.3466960789,369467.4945954694,238269.88969025787,252666.92522810498,246376.89427164407
18,591325.5772302911,698577.9858489973,452259.2285305853,342725.2601441792,662101.9601989924,743052.4331583705,706712.1931595798,254485.4308364381,357023.1837446851,593622.5700544135,291075.6104066547,130761.62078036256,428430.8076068353,368020.346671444,506415.81198185135,450364.45584541943,352365.14909463015,196875.34669607884,0.0,554070.1225360564,434421.3907403165,445486.0609423662,434903.67145784793
19,147753.92728822448,243556.91371562914,106843.41626982273,213305.79137734685,289276.6597827784,324941.3523892255,329478.919500548,299584.6922448506,217125.44723956747,268150.6896865737,302511.1075199301,423476.8536966797,163816.36337282995,257738.63595632362,189330.66647164745,288752.41700362385,296192.09433082904,369467.49459546944,554070.1225360567,0.0,208646.42413335879,242106.40344034194,272428.7279503371
20,164825.50801386227,264802.16286883404,183508.0823006977,184045.84110701413,233515.38529957845,310832.0591412088,280414.30315815884,214025.47989568344,96126.24710634559,169849.31634930728,143602.18967644215,317725.79956659983,58092.968133763425,69049.70816574701,72003.73365132134,88050.68785158554,99887.15663097388,238269.88969025796,434421.3907403163,208646.42413335887,0.0,40631.54392105393,66970.79589670083
21,174938.2642526063,262130.29798224935,223903.34476685166,220788.48259892748,216658.3492779813,297882.5588136138,261848.0447413197,240844.22519618395,128371.99370932077,148822.2609791727,156163.08698978028,335291.57809220755,98679.80883821411,79270.10167582151,74793.2211633086,48235.13078038911,95800.21774537876,252666.9252281049,445486.06094236637,242106.40344034194,40631.54392105398,0.0,30632.62964653392
22,202356.43117649612,283189.492353415,249669.50339282543,236135.89922287263,229275.99504900788,312284.36105604714,272428.81394399033,245232.85215135638,140908.1434011941,159861.51385361867,151087.73261870004,330490.61808847246,124170.38498945777,79369.5948933116,102513.97509745396,24131.446640018137,82606.15975595116,246376.89427164407,434903.67145784793,272428.727950337,66970.79589670079,30632.629646533787,0.0
